College Code,College Name,Branch,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
E005,R. V. College of Engineering Bangalore,"AI Artificial
Intelligence",9684,--,--,7993,--,8135,10578,--,--,4868,--,--,5660,--,--,4757,6053,6502,25239,35775,36559,23027,--,30896
E005,R. V. College of Engineering Bangalore,AR Architecture,265,--,--,457,--,--,203,--,--,242,--,--,230,--,--,198,--,488,499,--,--,--,--,--
E005,R. V. College of Engineering Bangalore,CE Civil,69263,--,--,73001,84647,81829,74438,--,107808,65915,--,70221,67681,--,69405,48502,54450,67191,93280,93824,101995,96958,124574,123121
E005,R. V. College of Engineering Bangalore,CS Computers,7386,--,8647,6525,7849,7538,8757,--,11860,3932,--,5378,4259,7918,5387,3649,7474,5233,22271,26105,26934,22395,--,23998
E005,R. V. College of Engineering Bangalore,EC Electronics,10362,--,17032,11077,16068,12339,16034,--,40511,7689,19963,--,8029,--,12705,6692,12990,11437,41942,49110,44785,33883,--,34812
E005,R. V. College of Engineering Bangalore,EE Electrical,29282,51745,34616,27775,29180,36728,30548,--,--,22784,--,--,22227,--,27148,17218,26911,26679,63753,69479,75273,57012,--,66517
E005,R. V. College of Engineering Bangalore,IE Info.Science,8105,--,--,7779,--,8256,11768,30724,--,5476,--,6357,5187,--,--,5039,9396,5825,29554,--,35459,28492,--,30720
E005,R. V. College of Engineering Bangalore,ME Mechanical,62351,--,62431,71359,71843,74639,75759,--,79777,50421,--,64283,54690,59602,63644,43012,50158,59373,106524,123898,123592,113865,134425,117800
E005,R. V. College of Engineering Bangalore,CE Civil,96044,--,--,100810,122670,106577,101369,--,--,93515,--,--,97068,--,105063,87484,90439,91373,121681,135559,143752,128598,--,129762
E005,R. V. College of Engineering Bangalore,CS Computers,17352,--,17847,21675,--,22953,28805,--,39782,15587,--,19050,16547,20485,--,14614,20297,17116,39925,--,42928,28860,--,--
E005,R. V. College of Engineering Bangalore,EC Electronics,35951,--,--,33200,--,35187,38319,--,--,29037,--,--,27194,--,34592,26819,32441,30697,63547,--,69708,63305,79928,80136
E005,R. V. College of Engineering Bangalore,ST Silk Tech.,162078,--,--,141129,--,149049,--,--,--,--,--,--,139860,--,--,119702,135932,139633,186271,--,--,220614,--,--
E005,R. V. College of Engineering Bangalore,TX Textiles,150513,--,170257,166614,172706,168313,173665,--,--,156846,--,--,148554,--,--,141707,155328,157882,198936,231388,231502,201001,--,--
E005,R. V. College of Engineering Bangalore,CE Civil,56425,--,--,47288,--,52000,73226,--,--,35070,--,--,37691,--,65223,32748,51692,40630,56552,--,80462,68114,116868,94563
E005,R. V. College of Engineering Bangalore,EC Electronics,8026,--,11264,5022,--,6916,6731,--,--,2260,--,--,3485,11984,--,1873,5867,6109,24274,--,35225,30355,--,37639
E005,R. V. College of Engineering Bangalore,EE Electrical,8704,--,31018,18276,25985,23820,26474,--,--,10182,--,--,9150,--,12800,5093,15907,12760,50740,78200,53189,49894,--,--
E005,R. V. College of Engineering Bangalore,"IM Ind. Engg.
Mgmt.",32227,--,--,51961,51972,62496,45147,--,67492,27680,--,56506,31224,--,--,24885,38972,48328,118785,142095,143972,117571,--,--
E005,R. V. College of Engineering Bangalore,ME Mechanical,27614,--,--,38582,--,42973,46818,--,--,23102,81676,38686,21721,--,--,13963,47628,32894,87250,--,124646,114054,--,160699
E005,R. V. College of Engineering Bangalore,CE Civil,122228,--,--,108083,110805,117889,143860,--,--,95172,--,--,93510,--,115908,87999,91784,104283,130111,134800,146869,132325,--,139958
E005,R. V. College of Engineering Bangalore,CS Computers,13904,20322,--,12216,--,13099,11117,--,--,10307,--,--,10865,--,13282,9930,10645,12334,32236,--,32681,30712,--,37241
E005,R. V. College of Engineering Bangalore,EC Electronics,25626,--,--,24881,26864,28652,34835,--,52075,20718,--,21728,22010,--,23363,19476,23509,21669,58510,58567,78987,62476,66880,62898
E005,R. V. College of Engineering Bangalore,EE Electrical,47309,--,58473,39832,42718,43465,47260,--,--,33025,--,35124,35778,38326,--,32275,35435,34499,83657,--,84700,74972,--,--
E005,R. V. College of Engineering Bangalore,"EI Elec. Inst.
Engg",53528,--,74970,60597,--,64883,69456,182632,--,50894,--,--,50705,--,--,49817,53636,60313,142874,191423,180407,132710,--,--
E005,R. V. College of Engineering Bangalore,"ET Elec.
Telecommn. Engg.",41390,--,--,48937,--,55282,46334,--,106840,35098,47659,--,36637,--,--,32864,38949,38226,107386,--,115572,80014,--,103615
E005,R. V. College of Engineering Bangalore,"IM Ind. Engg.
Mgmt.",66342,--,--,71835,--,109332,113763,--,--,68039,--,--,69508,--,--,64349,90413,80363,149293,--,181259,139036,--,--
E005,R. V. College of Engineering Bangalore,ME Mechanical,112406,--,122309,102503,103820,104183,119894,--,143381,87873,--,100709,90957,--,111529,83833,95068,100646,155793,168057,176155,173421,212445,229179
E005,R. V. College of Engineering Bangalore,"AI Artificial
Intelligence",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
E005,R. V. College of Engineering Bangalore,BT Bio Technology,19438,--,--,12939,23528,32662,--,--,--,8563,--,--,12721,--,--,5881,--,13770,44128,--,61454,45191,--,--
E005,R. V. College of Engineering Bangalore,"CA CS (AI, Machine
Learning)",1387,--,--,1348,--,1802,2133,--,--,716,--,--,1098,--,1780,530,2072,1344,8163,9060,9040,10999,--,12387
E005,R. V. College of Engineering Bangalore,CE Civil,27080,--,--,23186,--,34312,12999,--,--,--,--,--,17427,49255,--,11408,--,26756,34913,--,42558,61968,--,--
E005,R. V. College of Engineering Bangalore,CH Chemical,--,43342,--,16779,--,--,30556,--,43596,12855,--,--,--,--,--,8603,--,11727,24059,--,--,36539,--,--
E005,R. V. College of Engineering Bangalore,CS Computers,636,--,3282,938,3982,1009,1068,--,--,563,--,941,854,--,933,290,1119,894,4131,4849,6453,5499,13393,7087
E005,R. V. College of Engineering Bangalore,"CY CS- Cyber
Security",1652,--,--,1901,--,--,2156,25997,--,1681,--,--,1234,--,--,604,--,1716,9570,--,18988,12514,--,15664
E005,R. V. College of Engineering Bangalore,"DS Comp. Sc. Engg-
Data Sc.",1566,--,--,1598,--,2016,2077,--,--,1239,--,--,1116,--,--,459,5012,1795,7857,--,13385,10267,--,--
E005,R. V. College of Engineering Bangalore,EC Electronics,2679,--,--,2665,5856,3860,2858,--,6095,1968,--,3158,1956,--,3185,746,4000,3084,14641,25618,15510,22676,56231,23109
E007,Dayananda Sagar College of Engineering Bangalore,EE Electrical,7711,--,14418,8814,--,--,8086,--,--,5643,--,7154,3455,--,--,1105,12269,5851,25484,--,--,23041,--,--
E007,Dayananda Sagar College of Engineering Bangalore,"EI Elec. Inst.
Engg",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
E007,Dayananda Sagar College of Engineering Bangalore,"ET Elec.
Telecommn. Engg.",5309,--,18144,5769,--,12684,12805,--,--,3938,29054,--,4303,--,--,1240,--,8330,30853,--,--,28258,--,--
E007,Dayananda Sagar College of Engineering Bangalore,IE Info.Science,1499,--,--,1392,5079,1653,1301,--,--,1179,--,--,1090,--,1492,489,1688,1398,7098,18206,9460,9647,--,12532
E007,Dayananda Sagar College of Engineering Bangalore,"IM Ind. Engg.
Mgmt.",16653,--,--,26703,--,33510,37494,--,--,15870,--,--,24945,--,--,13536,28983,28395,62827,--,96205,74755,--,--
E007,Dayananda Sagar College of Engineering Bangalore,ME Mechanical,11574,--,--,16158,--,20191,13964,--,21456,6229,--,--,12340,--,--,3958,32152,17179,44415,55420,51920,61778,--,64188
E007,Dayananda Sagar College of Engineering Bangalore,"SE Aero Space
Engg.",8775,--,--,5664,--,6852,6919,--,--,2444,--,--,5981,--,--,1809,10915,4122,21939,--,60164,17281,--,--
E007,Dayananda Sagar College of Engineering Bangalore,"AD Artificial
Intel, Data Sc",2690,--,--,5403,--,5711,3512,--,--,3578,--,--,3791,--,--,2547,--,5641,21899,--,32167,13531,41216,--
E007,Dayananda Sagar College of Engineering Bangalore,"AI Artificial
Intelligence",5350,--,--,5360,--,6896,6458,--,--,3353,--,--,3075,--,--,2861,3447,4397,19687,--,22097,16813,--,--
E007,Dayananda Sagar College of Engineering Bangalore,AR Architecture,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
E007,Dayananda Sagar College of Engineering Bangalore,BT Bio Technology,20626,--,40605,21812,--,--,22650,--,--,17759,--,--,21224,--,--,10082,43460,16215,41597,--,82437,54406,57303,--
E007,Dayananda Sagar College of Engineering Bangalore,"CA CS (AI, Machine
Learning)",4258,--,--,4915,--,5534,3506,--,--,2504,--,--,3031,--,4741,2256,3433,4611,17734,29723,27217,15559,--,22302
E007,Dayananda Sagar College of Engineering Bangalore,CE Civil,33943,--,--,41581,--,60488,47510,--,--,35126,--,--,39466,--,--,29770,56813,38999,47261,--,87623,64928,--,--
E007,Dayananda Sagar College of Engineering Bangalore,CH Chemical,40528,--,--,31515,--,37698,42170,--,--,24480,--,--,20611,26774,--,18616,--,27194,62182,--,81913,37549,--,--
E007,Dayananda Sagar College of Engineering Bangalore,CS Computers,2330,--,--,3089,5210,3258,2300,--,5976,1941,--,--,2363,--,--,1254,2687,2248,10414,19248,14747,13644,--,13873
E007,Dayananda Sagar College of Engineering Bangalore,"CY CS- Cyber
Security",--,--,--,5200,--,7586,4296,--,--,3576,--,--,3825,--,--,2382,7166,5171,19046,--,35785,19777,--,--
E007,Dayananda Sagar College of Engineering Bangalore,EC Electronics,6799,--,--,6358,10112,7170,7203,--,--,4058,--,8103,3759,--,6068,3268,4391,5606,26964,28765,27461,29420,--,34278
E007,Dayananda Sagar College of Engineering Bangalore,EE Electrical,--,--,19580,12264,--,--,9976,--,72517,9258,29298,--,9400,--,--,5220,--,9211,43666,--,--,33215,--,--
E007,Dayananda Sagar College of Engineering Bangalore,"EI Elec. Inst.
Engg",16979,65522,--,14370,--,25202,16611,--,--,15002,--,--,9658,--,--,6969,--,19609,64532,--,91375,62909,--,--
E007,Dayananda Sagar College of Engineering Bangalore,"ET Elec.
Telecommn. Engg.",14611,--,33996,12262,--,--,14625,145515,--,9154,--,--,7072,--,--,4274,--,16588,52810,--,71685,49756,--,--
E007,Dayananda Sagar College of Engineering Bangalore,IE Info.Science,4889,--,--,4680,5810,6938,5141,--,--,2507,--,4731,2940,--,4514,2241,5573,3953,19513,26549,29790,18937,--,25994
